item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9083,event,Ice Cave Festival,Iceland,solo,food,relaxed,5520.98,8,0.85,0.1,0.97,0.41,0.37,0,0.35
9708,event,Midnight Sun Marathon,Norway,family,culture,offbeat,3493.94,11,0.48,0.23,0.92,0.36,0.61,1,0.41
9871,destination,Sundarbans,India,family,offbeat,offbeat,1803.84,1,0.79,0.89,0.91,0.74,0.85,1,0.83
9918,event,Sahara Nomad Festival,Morocco,family,offbeat,budget,2122.99,2,0.93,0.85,0.76,0.92,0.77,1,0.85
9777,event,Masked Dance Festival,Bhutan,solo,offbeat,spiritual,4931.24,8,0.66,0.85,0.81,0.11,0.44,0,0.49
9313,event,Midnight Sun Marathon,Norway,solo,nature,thrill,6759.24,11,0.72,0.23,0.93,0.81,0.23,0,0.46
9489,destination,Kathmandu,Nepal,solo,food,spiritual,2043.59,11,0.57,0.87,0.77,0.67,0.82,0,0.77
9674,trek,Mount Elgon Trek,Kenya,family,adventure,spiritual,2675.47,4,0.92,0.85,0.57,0.63,0.72,1,0.71
9805,trek,Aoraki Glacier Route,New Zealand,solo,culture,relaxed,5154.38,1,0.82,0.88,0.97,0.15,0.43,0,0.53
9647,event,Baisakhi Festival,India,family,spiritual,thrill,6844.01,7,0.64,0.54,0.75,0.71,0.22,0,0.5
9753,destination,Atacama Desert,Chile,family,offbeat,thrill,442.47,6,0.54,0.54,0.94,0.89,0.88,1,0.77
9810,event,Ice Cave Festival,Iceland,couple,adventure,relaxed,7373.48,6,0.76,0.38,0.91,0.65,0.16,0,0.43
9289,trek,Fisherman's Trail,Portugal,couple,adventure,luxury,7906.51,1,0.79,0.54,0.94,0.58,0.11,0,0.45
9687,event,Floating Lantern Festival,Thailand,couple,adventure,relaxed,1228.15,3,0.64,0.1,0.94,0.34,0.88,0,0.41
9451,event,Camel Wrestling Festival,Turkey,family,food,relaxed,6381.91,8,0.7,0.1,0.84,0.17,0.27,1,0.23
9545,event,Floating Lantern Festival,Thailand,family,nature,budget,6242.35,3,0.35,0.1,0.91,0.4,0.29,0,0.33
9137,trek,Atlas Mountain Trek,Morocco,solo,offbeat,relaxed,7638.03,8,0.32,0.88,0.86,0.34,0.14,0,0.47
9823,trek,Aoraki Glacier Route,New Zealand,solo,adventure,relaxed,3645.9,7,0.49,0.38,0.97,0.92,0.61,0,0.69
9134,event,Obon Festival,Japan,family,culture,budget,3770.57,1,0.6,0.1,0.85,0.64,0.58,0,0.47
9427,event,Camel Wrestling Festival,Turkey,couple,spiritual,thrill,886.62,11,0.35,0.1,0.84,0.33,0.92,1,0.4
9855,trek,Aoraki Glacier Route,New Zealand,family,food,spiritual,1564.61,8,0.73,0.54,0.18,0.28,0.85,0,0.46
9226,destination,Pai,Thailand,family,culture,budget,6733.88,4,0.77,0.69,0.93,0.38,0.27,1,0.52
9851,event,Obon Festival,Japan,couple,nature,offbeat,4329.08,5,0.89,0.54,0.99,0.23,0.51,1,0.46
9866,trek,Kanchenjunga Base Camp,Nepal,couple,food,relaxed,5037.29,7,0.73,0.69,0.58,0.2,0.44,0,0.45
9071,event,Camel Wrestling Festival,Turkey,couple,food,relaxed,1790.84,8,0.37,0.1,0.83,0.27,0.81,1,0.36
9210,trek,Aoraki Glacier Route,New Zealand,solo,offbeat,thrill,347.19,10,0.46,0.85,0.97,0.74,0.99,0,0.84
9915,destination,Fukuoka,Japan,couple,food,offbeat,5065.77,1,0.53,0.69,0.81,0.88,0.46,1,0.74
9607,trek,Mount Elgon Trek,Kenya,couple,culture,offbeat,7660.35,2,0.8,0.97,0.73,0.21,0.13,1,0.44
9934,destination,Kathmandu,Nepal,couple,nature,offbeat,6883.72,10,0.5,0.89,0.75,0.41,0.25,1,0.58
9604,event,Midnight Sun Marathon,Norway,family,nature,spiritual,2791.85,8,0.47,0.69,0.91,0.84,0.7,0,0.77
9725,destination,Sossusvlei,Namibia,couple,spiritual,relaxed,1068.17,8,0.64,0.84,0.75,0.44,0.93,0,0.69
9790,trek,Kanchenjunga Base Camp,Nepal,couple,food,spiritual,6309.88,8,0.72,0.54,0.58,0.44,0.29,0,0.46
9805,trek,Fisherman's Trail,Portugal,solo,nature,spiritual,7344.65,11,0.33,0.85,0.91,0.99,0.17,0,0.73
9217,destination,Pai,Thailand,couple,adventure,budget,7340.6,2,0.8,0.84,0.97,0.83,0.2,1,0.67
9927,event,Floating Lantern Festival,Thailand,solo,offbeat,luxury,7730.05,11,0.61,0.92,0.84,0.13,0.11,0,0.4
9825,destination,Sossusvlei,Namibia,solo,culture,spiritual,4558.58,2,0.51,0.54,0.98,0.44,0.52,0,0.54
9559,trek,Yosemite Panorama Trail,Canada,solo,adventure,thrill,799.39,10,0.66,0.85,0.91,0.81,0.94,0,0.86
9590,trek,Kanchenjunga Base Camp,Nepal,family,adventure,budget,5123.91,4,0.61,0.85,0.18,0.9,0.43,0,0.73
9082,destination,Miyajima,Japan,family,culture,thrill,619.42,11,0.79,0.87,0.99,0.63,0.99,0,0.81
9148,event,Floating Lantern Festival,Thailand,solo,adventure,budget,3296.61,5,0.49,0.1,0.84,0.35,0.64,0,0.36
9405,trek,Cordillera Huayhuash,Peru,family,offbeat,spiritual,4321.11,1,0.33,0.38,0.18,0.69,0.53,0,0.51
9055,destination,Kathmandu,Nepal,couple,culture,luxury,1475.93,10,0.64,0.9,0.77,0.94,0.89,0,0.96
9105,trek,Dzongri Trek,India,family,nature,offbeat,7529.41,6,0.48,0.89,0.57,0.99,0.15,1,0.76
9317,trek,Yosemite Panorama Trail,Canada,solo,nature,relaxed,6770.88,8,0.64,0.93,0.91,0.97,0.24,0,0.82
9826,event,Coffee Harvest Festival,Colombia,family,food,luxury,2401.61,3,0.67,0.54,0.89,0.9,0.74,0,0.75
9154,destination,Lucerne,Switzerland,family,nature,thrill,3951.81,10,0.77,0.85,0.98,0.89,0.59,0,0.83
9009,event,Masked Dance Festival,Bhutan,couple,adventure,thrill,5474.33,7,0.39,0.69,0.81,0.14,0.38,0,0.43
9103,destination,Alexandria,Egypt,family,nature,relaxed,2036.25,3,0.75,0.98,0.93,0.2,0.82,0,0.64
9622,event,Baisakhi Festival,India,solo,spiritual,thrill,271.35,2,0.59,0.69,0.94,0.6,0.99,0,0.73
9641,trek,Atlas Mountain Trek,Morocco,solo,food,relaxed,2185.78,3,0.77,0.85,0.86,0.64,0.78,0,0.76
9408,destination,Sundarbans,India,couple,adventure,thrill,1245.88,5,0.65,0.54,0.76,0.65,0.91,0,0.67
9145,trek,Fisherman's Trail,Portugal,family,adventure,relaxed,2824.6,10,0.52,0.91,0.92,0.82,0.7,0,0.84
9530,destination,Barichara,Colombia,solo,adventure,thrill,4093.3,12,0.69,0.93,1.0,0.62,0.58,1,0.76
9351,destination,Pai,Thailand,solo,food,luxury,6953.78,5,0.61,0.54,0.82,0.28,0.24,1,0.35
9257,destination,Alexandria,Egypt,couple,nature,offbeat,4563.43,2,0.54,1.0,0.84,0.34,0.52,1,0.65
9660,destination,Atacama Desert,Chile,couple,offbeat,thrill,3337.17,10,0.54,0.83,0.83,0.97,0.67,1,0.86
9722,event,Camel Wrestling Festival,Turkey,couple,food,thrill,5183.43,3,0.53,0.85,0.93,0.24,0.41,1,0.55
9042,destination,Miyajima,Japan,couple,offbeat,offbeat,7841.15,1,0.52,0.1,0.78,0.41,0.14,1,0.23
9284,event,Masked Dance Festival,Bhutan,family,offbeat,thrill,7823.21,1,0.42,0.1,0.79,0.37,0.1,0,0.2
9668,event,Cusco Food Festival,Peru,couple,adventure,offbeat,3363.98,7,0.5,0.69,0.84,0.25,0.63,1,0.52
9777,event,Baisakhi Festival,India,family,food,relaxed,1360.63,6,0.64,0.69,0.81,0.79,0.86,0,0.77
9792,trek,Kerlingarfjoll Trail,Iceland,family,culture,luxury,5184.22,2,0.71,0.38,0.57,0.26,0.43,0,0.36
9178,event,Obon Festival,Japan,couple,nature,spiritual,1531.08,5,0.94,0.54,0.91,0.17,0.84,0,0.48
9663,event,Baisakhi Festival,India,family,adventure,spiritual,2268.57,1,0.46,0.54,0.8,0.26,0.76,0,0.49
9973,destination,Lucerne,Switzerland,solo,food,offbeat,5153.83,1,0.67,0.38,0.85,0.24,0.45,1,0.38
9982,event,Masked Dance Festival,Bhutan,family,spiritual,luxury,3242.53,9,0.89,0.86,0.82,0.89,0.64,0,0.89
9792,event,Sahara Nomad Festival,Morocco,couple,adventure,budget,3003.45,4,0.56,0.96,0.94,0.62,0.67,1,0.78
9765,trek,Kerlingarfjoll Trail,Iceland,family,spiritual,relaxed,2254.99,3,0.52,0.54,0.57,0.25,0.77,0,0.47
9088,event,Masked Dance Festival,Bhutan,couple,culture,offbeat,2580.24,3,0.84,0.1,0.92,0.76,0.72,1,0.54
9494,trek,Aoraki Glacier Route,New Zealand,family,food,offbeat,331.79,2,0.77,0.94,0.18,0.25,1.0,1,0.61
9043,destination,Ait Benhaddou,Morocco,family,food,relaxed,2603.05,9,0.59,0.38,0.75,0.6,0.75,0,0.57
9587,trek,Yosemite Panorama Trail,Canada,couple,adventure,offbeat,6766.22,10,0.8,0.85,0.94,0.78,0.24,1,0.66
9498,event,Masked Dance Festival,Bhutan,couple,food,thrill,6262.67,5,0.78,0.38,0.87,0.78,0.29,0,0.57
9907,trek,Mae Hong Son Trail,Thailand,family,adventure,thrill,4547.86,6,0.32,0.38,0.92,0.64,0.5,1,0.56
9969,trek,Kanchenjunga Base Camp,Nepal,family,food,offbeat,1871.27,7,0.68,0.69,0.18,0.16,0.82,1,0.45
9283,destination,Barichara,Colombia,solo,spiritual,luxury,6486.29,1,0.67,0.97,0.85,0.18,0.3,1,0.54
9896,destination,Lake Bled,Slovenia,family,adventure,spiritual,6157.95,2,0.8,0.54,0.82,0.13,0.33,0,0.37
9553,destination,Sundarbans,India,couple,offbeat,thrill,2136.7,3,0.69,0.85,0.97,0.82,0.81,0,0.84
9023,destination,Lake Bled,Slovenia,solo,spiritual,budget,1222.41,2,0.5,0.54,0.98,0.33,0.92,0,0.57
9287,destination,Barichara,Colombia,couple,nature,offbeat,6525.75,9,0.51,0.54,0.83,0.71,0.29,1,0.59
9867,trek,Kanchenjunga Base Camp,Nepal,couple,culture,budget,3947.91,12,0.62,0.1,0.58,0.47,0.57,0,0.37
9776,event,Obon Festival,Japan,couple,culture,budget,5074.29,11,0.64,0.54,0.88,0.66,0.43,0,0.6
9712,trek,Aoraki Glacier Route,New Zealand,family,nature,relaxed,1392.15,7,0.47,0.38,0.18,0.65,0.87,0,0.55
9920,destination,Moalboal,Philippines,solo,adventure,relaxed,1511.09,9,0.6,0.38,0.75,0.94,0.88,0,0.72
9568,trek,Dzongri Trek,India,solo,offbeat,budget,1251.72,3,0.93,0.85,0.86,0.71,0.89,0,0.8
9643,destination,Alexandria,Egypt,family,food,relaxed,5125.16,1,0.79,0.88,0.86,0.75,0.46,0,0.76
9971,event,Cusco Food Festival,Peru,family,offbeat,budget,3983.2,9,0.89,0.93,0.79,0.34,0.55,0,0.62
9567,event,Masked Dance Festival,Bhutan,couple,adventure,luxury,6522.04,7,0.73,0.69,0.91,0.1,0.26,0,0.41
9568,destination,Lucerne,Switzerland,couple,culture,offbeat,4221.88,9,0.78,0.96,0.93,0.48,0.56,1,0.7
9840,destination,Sundarbans,India,solo,offbeat,budget,7788.96,6,0.8,0.38,0.91,0.83,0.14,0,0.5
9489,destination,Sossusvlei,Namibia,solo,culture,thrill,6956.83,7,0.57,0.94,0.81,0.14,0.24,0,0.43
9024,destination,Lake Bled,Slovenia,couple,spiritual,budget,7133.64,9,0.7,0.85,0.92,0.28,0.22,0,0.46
9144,destination,Sossusvlei,Namibia,couple,spiritual,offbeat,6610.82,5,0.5,0.9,0.85,0.14,0.28,1,0.49
9121,destination,Barichara,Colombia,family,adventure,offbeat,4643.15,9,0.62,0.54,0.91,0.59,0.51,1,0.59
9600,destination,Lake Bled,Slovenia,solo,spiritual,budget,5334.05,11,0.71,0.54,0.79,0.12,0.43,0,0.38
9763,trek,Cordillera Huayhuash,Peru,solo,nature,thrill,1601.94,9,0.45,0.96,0.97,0.76,0.85,0,0.86
9659,event,Masked Dance Festival,Bhutan,solo,culture,luxury,1200.41,12,0.66,0.69,0.93,0.66,0.88,0,0.73
9935,trek,Aoraki Glacier Route,New Zealand,couple,spiritual,offbeat,1886.07,7,0.54,0.38,0.58,0.13,0.81,1,0.38
9483,event,Sahara Nomad Festival,Morocco,family,culture,luxury,7088.02,10,0.89,0.1,0.85,0.46,0.19,1,0.26
9495,destination,Sossusvlei,Namibia,solo,adventure,luxury,1189.14,11,0.67,0.69,0.87,0.71,0.92,0,0.75
9527,event,Baisakhi Festival,India,solo,culture,spiritual,370.19,1,0.3,0.54,0.76,0.91,0.98,0,0.78
9828,trek,Fisherman's Trail,Portugal,family,nature,luxury,6582.16,7,0.57,0.87,0.92,0.86,0.26,0,0.83
9579,destination,Sundarbans,India,couple,offbeat,offbeat,3259.39,5,0.65,0.54,0.83,0.76,0.68,1,0.68
9035,trek,Yosemite Panorama Trail,Canada,family,spiritual,spiritual,1823.84,1,0.93,0.38,0.92,0.39,0.82,0,0.51
9980,event,Sahara Nomad Festival,Morocco,solo,nature,offbeat,296.95,11,0.94,0.1,0.97,0.68,0.99,1,0.56
9240,trek,Aoraki Glacier Route,New Zealand,couple,spiritual,spiritual,5277.81,7,0.87,0.38,0.58,0.16,0.41,0,0.32
9504,trek,Mae Hong Son Trail,Thailand,couple,culture,budget,157.39,2,0.8,0.99,0.94,0.16,0.52,1,0.58
9556,event,Cusco Food Festival,Peru,couple,culture,relaxed,4048.78,2,0.6,0.1,0.82,0.73,0.55,0,0.49
9356,trek,Cordillera Huayhuash,Peru,solo,nature,relaxed,898.05,6,0.72,0.88,0.97,0.6,0.93,0,0.79
9163,trek,Cordillera Huayhuash,Peru,family,spiritual,luxury,6817.04,4,0.42,0.85,0.18,0.18,0.23,0,0.35
9666,destination,Lake Bled,Slovenia,solo,food,thrill,1790.18,10,0.54,0.69,0.85,0.29,0.85,0,0.58
9379,destination,Moalboal,Philippines,couple,spiritual,budget,230.38,3,0.53,0.9,0.95,0.46,0.46,0,0.66
9597,trek,Kanchenjunga Base Camp,Nepal,solo,food,offbeat,7227.67,7,0.49,0.69,0.97,0.3,0.18,1,0.41
9255,destination,Lake Bled,Slovenia,solo,adventure,budget,6722.6,12,0.66,0.38,0.89,0.29,0.27,0,0.38
9154,event,Masked Dance Festival,Bhutan,family,food,budget,4374.33,4,0.84,0.23,0.82,0.73,0.51,0,0.53
9282,destination,Sundarbans,India,couple,adventure,budget,2398.16,8,0.66,0.54,0.89,0.7,0.78,0,0.68
9236,event,Baisakhi Festival,India,family,offbeat,relaxed,469.42,1,0.93,0.54,0.86,0.11,0.97,0,0.48
9746,destination,Kathmandu,Nepal,couple,offbeat,thrill,5821.76,2,0.7,0.1,0.96,0.2,0.37,0,0.27
9100,destination,Lucerne,Switzerland,family,offbeat,luxury,715.46,4,0.61,0.85,0.82,0.78,0.97,0,0.84
9768,event,Cusco Food Festival,Peru,solo,culture,spiritual,2489.66,5,0.88,0.38,0.94,0.72,0.73,0,0.63
9139,destination,Barichara,Colombia,solo,spiritual,luxury,5608.09,11,0.63,0.85,0.99,0.12,0.4,1,0.5
9619,event,Camel Wrestling Festival,Turkey,couple,food,offbeat,7641.5,10,0.73,0.1,0.89,0.45,0.12,1,0.25
9996,destination,Pai,Thailand,family,nature,spiritual,2968.71,3,0.61,0.85,0.91,0.66,0.71,1,0.76
9835,trek,Aoraki Glacier Route,New Zealand,couple,spiritual,relaxed,943.67,8,0.86,0.54,0.58,0.46,0.92,0,0.58
9405,event,Cusco Food Festival,Peru,solo,adventure,thrill,1173.5,3,0.83,0.1,0.95,0.28,0.89,0,0.39
9699,destination,Sundarbans,India,family,culture,spiritual,4446.3,11,0.75,1.0,0.92,0.33,0.54,0,0.65
9979,destination,Fukuoka,Japan,couple,adventure,relaxed,5893.59,9,0.71,0.38,0.95,0.39,0.37,0,0.44
9950,trek,Kerlingarfjoll Trail,Iceland,couple,offbeat,spiritual,7537.45,8,0.37,0.9,0.73,0.59,0.15,0,0.56
9810,trek,Yosemite Panorama Trail,Canada,family,culture,relaxed,5990.71,4,0.84,0.85,0.92,0.13,0.33,0,0.49
9837,event,Sahara Nomad Festival,Morocco,solo,offbeat,offbeat,195.6,10,0.31,0.1,0.85,0.97,0.98,1,0.66
9691,trek,Yosemite Panorama Trail,Canada,solo,adventure,budget,7695.79,3,0.35,0.69,0.91,0.79,0.13,0,0.59
9968,trek,Yosemite Panorama Trail,Canada,family,adventure,thrill,1288.92,5,0.91,0.89,0.92,0.83,0.88,0,0.87
9315,destination,Nusa Penida,Indonesia,couple,culture,luxury,6358.74,6,0.57,0.86,0.94,0.3,0.31,0,0.56
9143,trek,Mount Elgon Trek,Kenya,solo,nature,luxury,7100.06,5,0.74,0.69,0.86,0.65,0.2,1,0.54
9217,event,Cusco Food Festival,Peru,solo,culture,offbeat,3692.88,2,0.91,0.1,0.85,0.79,0.59,1,0.53
9900,trek,Kanchenjunga Base Camp,Nepal,couple,food,offbeat,2901.28,8,0.6,0.54,0.58,0.23,0.69,1,0.45
9603,event,Camel Wrestling Festival,Turkey,family,food,luxury,3145.61,2,0.61,0.94,0.87,0.14,0.65,1,0.57
9586,event,Midnight Sun Marathon,Norway,solo,nature,relaxed,6534.21,9,0.94,0.54,0.89,0.65,0.25,0,0.57
9313,destination,Pai,Thailand,couple,adventure,budget,1731.3,6,0.67,0.38,0.88,0.72,0.86,1,0.64
9404,event,Ice Cave Festival,Iceland,couple,culture,budget,2126.86,9,0.45,0.1,0.94,0.22,0.77,0,0.34
9595,destination,Lake Bled,Slovenia,couple,culture,relaxed,6861.79,12,0.7,0.38,0.96,0.21,0.25,0,0.35
9648,destination,Sossusvlei,Namibia,solo,culture,thrill,2005.6,12,0.62,0.54,0.84,0.14,0.82,0,0.46
9745,event,Cusco Food Festival,Peru,family,adventure,offbeat,1796.5,3,0.86,0.1,0.82,0.2,0.81,1,0.33
9749,destination,Nusa Penida,Indonesia,family,food,luxury,5511.4,10,0.59,0.92,0.89,0.28,0.41,0,0.58
9690,destination,Alexandria,Egypt,family,offbeat,luxury,6227.22,4,0.71,0.85,0.93,0.26,0.33,0,0.54
9479,event,Cusco Food Festival,Peru,solo,nature,spiritual,2609.55,9,0.54,0.97,0.79,0.26,0.72,0,0.63
9214,event,Coffee Harvest Festival,Colombia,family,adventure,budget,2403.93,6,0.61,0.93,0.8,0.35,0.74,0,0.66
9830,destination,Ait Benhaddou,Morocco,couple,culture,budget,455.21,12,0.58,0.1,0.94,0.89,0.91,0,0.63
9827,trek,Kerlingarfjoll Trail,Iceland,family,spiritual,thrill,1934.98,5,0.84,0.85,0.57,0.11,0.81,0,0.53
9955,trek,Aoraki Glacier Route,New Zealand,couple,culture,offbeat,5801.18,10,0.41,0.85,0.58,0.33,0.35,1,0.54
9821,destination,Lucerne,Switzerland,solo,nature,spiritual,1292.74,6,0.5,0.86,0.91,0.92,0.91,0,0.96
9918,trek,Cordillera Huayhuash,Peru,solo,culture,offbeat,7716.62,8,0.83,0.83,0.97,0.22,0.13,1,0.42
9886,trek,Atlas Mountain Trek,Morocco,couple,culture,budget,2075.7,1,0.9,0.54,0.73,0.87,0.79,0,0.73
9837,event,Floating Lantern Festival,Thailand,family,adventure,budget,4533.0,11,0.7,0.88,0.78,0.12,0.49,0,0.51
9244,trek,Aoraki Glacier Route,New Zealand,family,adventure,thrill,7257.02,9,0.73,0.69,0.18,0.95,0.18,0,0.58
9474,event,Midnight Sun Marathon,Norway,couple,offbeat,luxury,2108.84,3,0.5,0.54,0.86,0.82,0.78,0,0.72
9768,destination,Fukuoka,Japan,family,food,spiritual,3378.9,3,0.65,0.87,0.77,0.98,0.66,0,0.93
9035,trek,Cordillera Huayhuash,Peru,couple,offbeat,thrill,2089.6,8,0.84,1.0,0.58,0.82,0.79,0,0.85
9061,trek,Mae Hong Son Trail,Thailand,couple,offbeat,spiritual,4513.13,12,0.64,0.96,0.94,0.92,0.5,1,0.92
9092,event,Floating Lantern Festival,Thailand,family,culture,budget,7007.56,2,0.76,0.1,0.94,0.94,0.2,0,0.46
9987,event,Obon Festival,Japan,family,culture,relaxed,6099.15,10,0.43,0.69,0.93,0.78,0.31,0,0.68
9181,event,Cusco Food Festival,Peru,family,food,relaxed,7181.96,10,0.59,0.91,0.74,0.94,0.18,0,0.77
9844,trek,Fisherman's Trail,Portugal,solo,offbeat,spiritual,1743.45,12,0.64,0.69,0.91,0.59,0.83,0,0.7
9165,trek,Atlas Mountain Trek,Morocco,family,spiritual,relaxed,4353.24,4,0.5,0.89,0.57,0.58,0.52,0,0.67
9215,destination,Sossusvlei,Namibia,solo,spiritual,relaxed,6572.46,9,0.58,0.92,0.97,0.19,0.29,0,0.53
9584,destination,Gangtok,India,couple,nature,thrill,7755.97,3,0.62,0.95,0.77,1.0,0.15,0,0.81
9850,event,Cusco Food Festival,Peru,couple,offbeat,thrill,7302.36,9,0.58,0.84,0.81,0.22,0.16,0,0.41
9030,trek,Atlas Mountain Trek,Morocco,solo,nature,offbeat,801.3,7,0.47,0.88,0.86,0.22,0.94,1,0.63
9529,trek,Mount Elgon Trek,Kenya,couple,culture,thrill,5100.5,10,0.31,0.1,0.73,0.25,0.44,1,0.28
9325,trek,Yosemite Panorama Trail,Canada,family,food,luxury,115.3,9,0.41,0.85,0.92,0.29,0.38,0,0.56
9820,trek,Cordillera Huayhuash,Peru,couple,nature,spiritual,7659.16,4,0.61,0.85,0.58,0.75,0.13,0,0.59
9100,trek,Mount Elgon Trek,Kenya,couple,food,relaxed,1164.64,5,0.71,0.69,0.73,0.4,0.9,1,0.62
9667,event,Camel Wrestling Festival,Turkey,family,offbeat,luxury,3668.69,2,0.45,0.92,0.84,0.87,0.59,1,0.9
9904,event,Baisakhi Festival,India,solo,food,luxury,6573.53,7,0.74,0.54,0.91,0.77,0.25,0,0.62
9498,destination,Alexandria,Egypt,family,spiritual,budget,4901.49,3,0.52,0.87,0.96,0.68,0.48,0,0.74
9847,trek,Fisherman's Trail,Portugal,family,offbeat,budget,1138.97,2,0.46,0.69,0.92,0.63,0.9,0,0.73
9269,destination,Fukuoka,Japan,family,spiritual,offbeat,3144.97,6,0.67,0.85,0.82,0.76,0.69,1,0.78
9814,destination,Moalboal,Philippines,solo,spiritual,budget,6692.91,7,0.65,0.69,0.97,0.13,0.27,0,0.43
